n_clusters,inertia,silhouette_score
15,43092.82691816053,0.47649745363273477
20,37007.30552955212,0.5142974952014825
25,32544.911468476286,0.5533106767042222
30,28483.98669778766,0.5910105161492366
35,25954.653458932145,0.6166845988949852
40,24067.126785382992,0.6319116782745937
45,22436.893334553293,0.6481608873778881
50,20743.269359460683,0.6682389506704863
55,19745.70868749504,0.6779753140614344
60,18727.939873116688,0.6885315555338622
65,17832.87203581454,0.6992179574351126
70,17079.3375870236,0.7079356389025342
75,16237.024022717249,0.7195834877528767
80,15548.939559148243,0.7297067660925073
85,14630.180857965504,0.7440327711732702
90,13939.784367389853,0.7544745656873525
95,13325.298883876618,0.7646591847138556
100,12633.668925493299,0.7746583724542948
105,12072.02867133703,0.7826332361367729
110,11568.9652937102,0.7905958129322164
115,11168.248801970512,0.7977210018687566
120,10875.49782526874,0.801184515019073
125,10398.07718180713,0.809348905596193
130,10036.11796516096,0.8154111728084287
135,9562.201334720115,0.8233598486591608
140,9205.511769332823,0.8280904979635291
145,8909.144337613392,0.8331308392446107
150,8778.048103026595,0.8356176802940786
170,7695.837627979547,0.8530734373192551
190,6912.574245642934,0.8661625130724555
210,6290.156163272952,0.8769617413877532
230,5703.122655975798,0.8876666505049166
250,5241.569351646117,0.8954776589413506
270,4855.947922416345,0.9027257472862775
290,4494.995251717379,0.9094257058608649
310,4205.4242396370755,0.9149753342628092
330,3883.7830244769707,0.9211978179939936
350,3642.1988915730976,0.9255647985168987
370,3419.064481152212,0.9295540244447071
390,3209.215059528336,0.9334065943274478
410,3038.1599437229697,0.9366091254430577
440,2775.7272315126656,0.9417953253019333
470,2553.6533459687616,0.9459134785334172
500,2376.287855981919,0.9490546713361226
530,2195.691322615297,0.9525562519492289
560,2048.6339898339083,0.9552157059929575
590,1889.4164178835413,0.9583380064333924
620,1752.8564857477822,0.9609864227176504
